时间,中空玻璃产量_当期值,中空玻璃产量_累计值,中空玻璃产量_同比增长,中空玻璃产量_累计增长
2025年5月,1041.7,5073.0,-10.7,-7.4
2025年4月,1004.3,4021.2,-6.8,-5.1
2025年3月,1099.7,2976.7,-5.1,-6.0
2024年12月,1364.4,14138.1,-8.1,-6.1
2024年11月,1250.4,12711.3,-16.0,-6.3
2024年10月,1396.1,12091.7,-0.7,-2.4
2024年9月,1186.8,9524.0,-7.8,-3.5
2024年8月,1135.7,8308.6,-5.9,-2.8
2024年7月,1132.9,7215.4,-8.7,-1.8
2024年6月,1148.6,6099.6,-6.6,0.7
2025年2月,,1975.1,,-3.2
