时间,原铝（电解铝）产量_当期值,原铝（电解铝）产量_累计值,原铝（电解铝）产量_同比增长,原铝（电解铝）产量_累计增长
2025年5月,382.8,1859.0,5.0,4.0
2025年4月,375.4,1479.3,4.2,3.4
2025年3月,374.6,1106.6,4.4,3.2
2024年12月,376.6,4400.5,4.2,4.6
2024年11月,370.6,4021.8,3.6,4.6
2024年10月,371.5,3639.1,1.6,4.3
2024年9月,364.9,3255.5,1.2,4.6
2024年8月,372.6,2890.9,2.5,5.1
2024年7月,367.8,2519.3,6.0,6.7
2024年6月,366.6,2155.2,6.2,6.9
2025年2月,,731.8,,2.6
